index_algorithm,avg_build_time_ms,std_build_time_ms,avg_index_size_bytes,std_index_size_bytes,avg_latency_p95_us,std_latency_p95_us,avg_latency_p99_us,std_latency_p99_us,avg_io_ops,std_io_ops
B+ Tree,5.073,0.193,3836811.0,4665.527,0.375,0.097,0.604,0.201,8002.0,0.000
B-Tree,5.459,0.270,3487545.0,2505.130,0.667,0.302,1.021,0.334,8002.0,0.000
Chained Hash,3.733,0.115,3547402.5,1387.306,0.292,0.174,0.416,0.296,6002.0,3464.102
Extendible Hash,265.055,66.288,5567345.2,281029.443,44.125,43.773,96.990,76.197,6002.0,3464.102
LSM Tree,4.713,0.178,3600167.0,336.875,573.937,993.343,604.448,1045.996,8002.0,0.000
Linear Hash,189.519,25.164,4314312.8,2015.793,17.021,11.058,22.615,14.143,6002.0,3464.102
Radix Tree,4.766,0.296,10750824.8,1920.118,342.573,592.608,372.968,644.365,8002.0,0.000
Skip List,2.434,0.180,2750444.8,653.808,0.188,0.021,0.666,0.523,8002.0,0.000
Static Hash,6.607,1.800,4980336.0,711.724,0.396,0.254,0.479,0.303,6002.0,3464.102
